"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","50","493-1065-ND","UVR1E102MPD","CAP ALUM 1000UF 20% 25V RADIAL","C1 C10 C25","50","0","0.26200","13.10"
"2","100","399-C1206C104J5RACTUCT-ND","C1206C104J5RACTU","CAP CER 0.1UF 50V X7R 1206","C2 C3 C6-C8 C13 C22 C23 C29","100","0","0.08770","8.77"
"3","100","399-C0603C470K5RACTUCT-ND","C0603C470K5RACTU","CAP CER 47PF 50V X7R 0603","C4 C5","100","0","0.08110","8.11"
"4","100","399-C0603C471K5RACTUCT-ND","C0603C471K5RACTU","CAP CER 470PF 50V X7R 0603","C9","100","0","0.03260","3.26"
"5","100","399-C0603C120K5RACTUCT-ND","C0603C120K5RACTU","CAP CER 12PF 50V X7R 0603","C11 C12 C14 C15","100","0","0.08110","8.11"
"6","50","493-12828-1-ND","UVR2C100MPD1TD","CAP ALUM 10UF 20% 160V RADIAL TH","C20","50","0","0.14260","7.13"
"7","100","BZT52C10-TPMSCT-ND","BZT52C10-TP","DIODE ZENER 10V 500MW SOD123","D1","0","100","0.02600","2.60"
"8","50","732-4983-1-ND","150080GS75000","LED GREEN CLEAR 0805 SMD","D2-D6","50","0","0.17600","8.80"
"9","10","732-4982-1-ND","150080BS75000","LED BLUE CLEAR 0805 SMD","D9","10","0","0.19000","1.90"
"10","10","732-4984-1-ND","150080RS75000","LED RED CLEAR 0805 SMD","D10","10","0","0.19000","1.90"
"11","5","F6135CT-ND","1210L150/16WR","PTC RESET FUSE 16V 1.5A 1210","F1","5","0","0.90000","4.50"
"12","5","WM1813-ND","0430450200","CONN HEADER R/A 2POS","J1","5","0","1.06000","5.30"
"13","5","WM1821-ND","0430450602","CONN HEADER R/A 6POS 3MM","J2","5","0","2.43000","12.15"
"14","20","WM1733-ND","0530470410","CONN HEADER VERT 4POS 1.25MM","J3 J12-J15","20","0","0.21500","4.30"
"15","5","732-5960-1-ND","629105150521","CONN RCPT USB2.0 MICRO B SMD R/A","J4","5","0","2.21000","11.05"
"16","35","WM1732-ND","0530470310","CONN HEADER VERT 3POS 1.25MM","J5-J7 J16-J19","35","0","0.20100","7.04"
"17","20","455-1566-1-ND","SM04B-GHS-TB","CONN HEADER SMD R/A 4POS 1.25MM","J8 J10 J11 J13","20","0","0.32400","6.48"
"18","5","WM1737-ND","0530470810","CONN HEADER VERT 8POS 1.25MM","J9","5","0","0.46000","2.30"
"19","20","SAM10025-ND","SSW-106-01-F-S","CONN RCPT 6POS 0.1 GOLD PCB","J20 J23","20","0","0.92000","18.40"
"20","10","SUD50P10-43L-GE3CT-ND","SUD50P10-43L-GE3","MOSFET P-CH 100V 37.1A TO252","Q1","10","0","2.19300","21.93"
"21","10","MMBT3904LT1GOSCT-ND","MMBT3904LT1G","TRANS NPN 40V 0.2A SOT23-3","Q2","10","0","0.07500","0.75"
"22","10","DMG2305UX-7DICT-ND","DMG2305UX-7","MOSFET P-CH 20V 4.2A SOT23","Q4","10","0","0.18300","1.83"
"23","15","2N7002NCT-ND","2N7002","MOSFET SOT23 N 60V 5OHM 150C","Q5 Q6","15","0","0.36200","5.43"
"24","250","RNCP0603FTD22R1CT-ND","RNCP0603FTD22R1","RES 22.1 OHM 1% 1/8W 0603","R1 R3 R6 R7 R20","250","0","0.00888","2.22"
"25","100","RMCF0603FT100KCT-ND","RMCF0603FT100K","RES 100K OHM 1% 1/10W 0603","R2","100","0","0.00480","0.48"
"26","250","RNCP0603FTD332RCT-ND","RNCP0603FTD332R","RES 332 OHM 1% 1/8W 0603","R4 R5 R19","250","0","0.00888","2.22"
"27","25","738-CSR1206FT30L0CT-ND","CSR1206FT30L0","RES 0.03 OHM 1% 1/2W 1206","R8-R10","25","0","0.24280","6.07"
"28","500","RNCP0603FTD10K0CT-ND","RNCP0603FTD10K0","RES 10K OHM 1% 1/8W 0603","R11-R16 R18 R30","500","0","0.00838","4.19"
"29","100","RNCP0603FTD1K78CT-ND","RNCP0603FTD1K78","RES 1.78K OHM 1% 1/8W 0603","R17","100","0","0.00960","0.96"
"30","250","738-RNCP0603FTD3K30CT-ND","RNCP0603FTD3K30","RES 3.3K OHM 1% 1/8W 0603","R22 R23","250","0","0.01250","3.13"
"31","100","RNCP0603FTD121RCT-ND","RNCP0603FTD121R","RES 121 OHM 1% 1/8W 0603","R29","100","0","0.00960","0.96"
"32","10","EG1919-ND","EG1271A","SWITCH SLIDE SPDT 300MA 30V","SW1 SW2","10","0","0.79800","7.98"
"33","5","296-4658-1-ND","SN74AHCT126DR","IC BUFF NON-INVERT 5.5V 14-SOIC","U1","5","0","0.50000","2.50"
"34","5","1951-2692-ND","TSR 2-2450","DC DC CONVERTER 5V 10W","U9","5","0","12.00000","60.00"
"35","5","1951-2426-ND","TSR 2-2433","DC DC CONVERTER 3.3V 6.6W","U12","5","0","11.97400","59.87"
"36","5","2648-SC0915CT-ND","SC0915","RASPBERRY PI PICO RP2040","U14","5","0","4.00000","20.00"
"37","10","FL0800011QDICT-ND","FL0800011Q","CRYSTAL 8.0000MHZ 12PF SMD","Y1","10","0","0.60600","6.06"
"38","10","FH1200004CT-ND","FH1200004","CRYSTAL 12.0000MHZ 12PF SMD","Y2","10","0","0.71400","7.14"
"39","5","505-LTC2990IMS#TRPBFCT-ND","LTC2990IMS#TRPBF","IC TEMP/VOLT/CUR MONITOR 10MSOP","U3","5","0","7.31000","36.55"

